X,Y,OBJECTID,RECORDNUM,SETDATE,SETYEAR,COMMENTS,MCD,ROUTE,ROAD,CNTDIR,FROMLMT,TOLMT,TYPE,LATITUDE,LONGITUDE,FACTOR,AXLE,OUTDIR,INDIR,AADB,UPDATED,CO_NAME,MUN_NAME,GLOBALID,PROGRAM,BIKEPEDGRO,BIKEPEDFAC
-75.19341217069173,39.952980414266634,47519,139024,2018-03-29T00:00:00.000Z,2018,,4210160103,3,walnut st westbound lanes,west,36th st,34th st,Bicycle 2,39.95297235,-75.19341039,0,0,E,W,455,2018-04-10T02:36:13.000Z,Philadelphia,Central,bc0fefb6-cae7-4541-b748-52197ec8d113,Project,Mixed,Buffered Bike Lane
-75.218647739103474,39.956123194365496,47524,139026,2018-03-27T00:00:00.000Z,2018,,4210160103,3,walnut st westbound lanes,west,46th st,45th st,Bicycle 2,39.95611513,-75.21864595,0,0,E,W,94,2018-04-10T02:36:13.000Z,Philadelphia,Central,3fd84268-4502-4da3-a8c1-d6bcf40e26bd,Project,Mixed,Buffered Bike Lane
-75.228376322201214,39.957326773849857,47526,139028,2018-03-27T00:00:00.000Z,2018,,4210160111,3,walnut st westbound lanes,west,54th st,53rd st,Bicycle 2,39.95731871,-75.22837453,0,0,E,W,28,2018-04-10T02:36:13.000Z,Philadelphia,West,b95ba03d-7eb8-48fe-b9cc-1305681ae1d1,Project,Mixed,Buffered Bike Lane
-75.039975007676162,40.041813117294005,47696,139038,2018-04-06T00:00:00.000Z,2018,,4210160104,0,rowland ave northbound lanes,north,vista st,shelmire ave,Bicycle 2,40.04180503,-75.03997327,0,0,S,N,2,2018-04-20T15:26:13.000Z,Philadelphia,North Delaware,93ed8b17-74e5-4a05-96b2-d51eead7116e,Project,Low Volume,Mixed Traffic
-75.039975007676162,40.041813117294005,47699,139039,2018-04-06T00:00:00.000Z,2018,,4210160104,0,rowland ave southbound lanes,south,vista st,shelmire ave,Bicycle 2,40.04180503,-75.03997327,0,0,N,S,11,2018-04-20T15:26:14.000Z,Philadelphia,North Delaware,e3ab660c-279b-4fa8-8204-832f878fd654,Project,Low Volume,Mixed Traffic
-75.033699455626106,40.049620009205626,47700,139097,2018-04-06T00:00:00.000Z,2018,,4210160118,0,rhawn st,west,holmehurst ave,cresco ave,Bicycle 2,40.04961192,-75.03369772,0,0,E,W,4,2018-04-20T15:26:14.000Z,Philadelphia,Central Northeast,ef69ec09-5a84-48e6-b68a-ae32253850e8,Project,Low Volume,Bike Lane
-75.033699455626106,40.049620009205626,47701,139041,2018-04-06T00:00:00.000Z,2018,,4210160118,0,rhawn st,east,holmehurst ave,cresco ave,Bicycle 2,40.04961192,-75.03369772,0,0,W,E,7,2018-04-20T15:26:14.000Z,Philadelphia,Central Northeast,26e146ab-3ac0-423d-b8a7-ffba25db7324,Project,Low Volume,Bike Lane
-75.160090768799307,39.936135062230001,48015,139032,2018-04-12T00:00:00.000Z,2018,,4210160103,0,10th st southbound lanes,south,washington ave,ellsworth st,Bicycle 2,39.936127,-75.160089,0,0,N,S,410,2018-04-25T02:36:08.000Z,Philadelphia,Central,cd133eea-20e0-4d4a-a953-62156ce435c8,Project,Mixed,Mixed Traffic
-74.993637709806336,39.828379046955092,48016,137287,2018-04-10T00:00:00.000Z,2018,,3400740440,702,berlin ave westbound lanes,west,pinelawn ave,shady side ave,Bicycle 2,39.828371,-74.993636,0,0,E,W,14,2018-04-25T02:36:08.000Z,Camden,Lindenwold Borough,ca0cd510-376e-4b3f-b2d1-59076d8ef81c,Cyclical,Low Volume,
-75.158971770762065,39.981638070857315,48017,141908,2018-04-12T00:00:00.000Z,2018,,4210160107,0,15th st,south,montgomery ave,norris st,Bicycle 2,39.98163,-75.15897,0,0,N,S,56,2018-04-25T02:36:08.000Z,Philadelphia,Lower North,0e9c3be4-4295-4200-9242-521228d3a630,Project,Mixed,Sharrow
-74.993637709806336,39.828379046955092,48020,137286,2018-04-10T00:00:00.000Z,2018,,3400740440,702,berlin ave eastbound lanes,east,pinelawn ave,shady side ave,Bicycle 2,39.828371,-74.993636,0,0,W,E,14,2018-04-25T02:36:08.000Z,Camden,Lindenwold Borough,4d6d1208-4dd6-4525-a45e-8da10d1b7622,Cyclical,Low Volume,
-75.602081914920703,40.035472065951133,48021,141912,2018-04-13T00:00:00.000Z,2018,,4202984192,,chester valley trail,both,pa 100 pottstown pk,iron lakes blvd,Bicycle 2,40.035464,-75.60208,0,0,N,S,79,2018-04-28T02:36:51.000Z,Chester,West Whiteland Township,cf1b10c6-b22b-4e75-af6d-68dea2d7289d,Project,Recreation,Multiuse Trail
-75.625260921648533,40.026727063162483,48022,141911,2018-04-13T00:00:00.000Z,2018,,4202984192,,chester valley trail,both,exton park trailhead,church farm la,Bicycle 2,40.026719,-75.625259,0,0,S,N,339,2018-04-28T02:36:51.000Z,Chester,West Whiteland Township,434d7aa6-de2c-4aee-b250-38ede0f60538,Project,Recreation,Multiuse Trail
-74.965506700376466,39.828925047879601,48030,137273,2018-04-18T00:00:00.000Z,2018,,3400726070,0,united states ave trail,both,bilston ave,bridgewood ave,Bicycle 2,39.828917,-74.965505,0,0,S,N,32,2018-05-02T02:36:10.000Z,Camden,Gibbsboro Borough,e4adbd53-cee7-48e6-b6cc-cfe4c5ba87a4,Cyclical,Recreation,
-75.038012725072761,39.857714050500356,50265,137288,2018-04-09T00:00:00.000Z,2018,,3400742630,727,atlantic ave northbound lanes,north,lincoln ave,morrow ave,Bicycle 2,39.857706,-75.038011,0,1.02,S,N,14,2018-06-23T02:36:43.000Z,Camden,Magnolia Borough,d4cf1652-2e7e-4ce4-b92c-2c98e78345e8,Cyclical,Low Volume,Striped Shoulder
-75.18892664822333,39.939555141353921,50266,139019,2018-04-03T00:00:00.000Z,2018,,4210160112,0,grays ferry ave eastbound lanes,east,ellsworth st,washington ave,Bicycle 2,39.93954708,-75.18892487,0,1.02,W,E,423,2018-06-23T02:36:43.000Z,Philadelphia,South,2b66fcaf-da8d-48bd-b563-e774437e20a0,Project,Mixed,Bike Lane
-75.177860115849867,39.95104644469518,50267,139022,2018-03-29T00:00:00.000Z,2018,,4210160103,3,walnut st westbound lanes,west,23rd st,22nd st,Bicycle 2,39.95103838,-75.17785834,0,1.02,E,W,657,2018-06-23T02:36:43.000Z,Philadelphia,Central,69bf3cdd-136f-4f3c-ba56-ee51aa69154a,Project,Mixed,Bike Lane
-75.077407741585702,39.910021060200542,50273,137271,2018-04-17T00:00:00.000Z,2018,,3400714260,0,newton lake park trail,both,everett ave,colford ave,Bicycle 2,39.910013,-75.077406,0,1.02,W,E,160,2018-06-23T02:36:44.000Z,Camden,Collingswood Borough,dd1c9a31-2d89-4970-ba3c-710674c37380,Cyclical,Recreation,Multiuse Trail
-75.199925132082996,39.939958231644169,50282,139015,2018-04-05T00:00:00.000Z,2018,,4210160110,0,grays ferry ave eastbound lanes,east,fed ex drvwy,34th st,Bicycle 2,39.93995017,-75.19992335,0,1.02,W,E,122,2018-06-23T02:36:44.000Z,Philadelphia,University - Southwest,5dbaad32-b185-4380-88bf-f09bd5a595ab,Project,Mixed,Bike Lane
-75.058053736968745,39.951371068742553,50285,137272,2018-04-17T00:00:00.000Z,2018,Cyclical Count Program  Year 2,3400745510,0,merchantville bike path,both,cr 612 browning rd,lexington ave,Bicycle 2,39.951363,-75.058052,0,1.02,E,W,314,2018-06-23T02:36:44.000Z,Camden,Merchantville Borough,16afbf3d-3b82-4584-b151-bd22100ab680,Cyclical,Recreation,Sidepath
