STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-01,0,13,20,6
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-02,0,18,24,12
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-03,0,22,33,13
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-04,0.25,25,29,16
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-05,0,16,17,11
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-06,0,12,16,7
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-07,0,12,19,4
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-08,0.06,22,33,16
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-09,0,34,45,25
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-10,0,35,44,24
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-11,0,45,59,39
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-12,1.42,59,64,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-13,0.05,46,61,19
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-14,0,20,27,14
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-15,0,24,34,17
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-16,0,34,45,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-17,0.07,33,40,21
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-18,0,25,36,18
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-19,0,33,46,23
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-20,0,41,57,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-21,0,41,53,30
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-22,0,48,62,42
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-23,0.46,54,62,43
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-24,0,44,45,35
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-25,0,33,37,27
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-26,0,32,42,24
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-27,0,40,59,27
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-28,0.4,52,56,46
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-29,0,44,47,38
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-30,0.14,35,38,22
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-01-31,0,24,33,18
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-01,0.03,37,47,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-02,0.17,34,40,20
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-03,0,23,31,17
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-04,0.86,33,38,30
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-05,0,34,38,25
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-06,0,31,38,25
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-07,0.82,34,50,25
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-08,0,33,36,27
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-09,0,30,39,23
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-10,0.41,39,50,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-02-11,1.68,53,65,47
